team,conference,positionGroup,averageRating,totalRating,commits,averageStars,year
Arizona State,Pac-10,Defensive Line,0.9764000177383423,0.9764,1,4.0000000000000000,2009
Arizona State,Pac-10,Linebacker,0.8459666768709818,2.5379,3,3.3333333333333333,2009
Arizona State,Pac-10,Offensive Line,0.8452000021934509,2.5356,3,3.0000000000000000,2009
Arizona State,Pac-10,Receiver,0.8238999843597412,1.6478,2,3.0000000000000000,2009
Arizona State,Pac-10,Running Back,0.8655999898910522,0.8656,1,3.0000000000000000,2009
Arizona State,Pac-10,Special Teams,0.8721999824047089,1.7444,2,3.0000000000000000,2009
Arkansas,SEC,Defensive Back,0.911133329073588,2.7333999,3,3.6666666666666667,2009
Arkansas,SEC,Defensive Line,0.8899999856948853,0.89,1,3.0000000000000000,2009
Arkansas,SEC,Linebacker,0.8899999856948853,0.89,1,3.0000000000000000,2009
Arkansas,SEC,Offensive Line,0.8532999753952026,0.8533,1,3.0000000000000000,2009
Arkansas,SEC,Receiver,0.8199999928474426,0.82,1,3.0000000000000000,2009
Arkansas,SEC,Running Back,0.9262000024318695,1.8524001,2,4.0000000000000000,2009
Arkansas,SEC,Special Teams,0.800000011920929,0.8,1,3.0000000000000000,2009
Arkansas State,Sun Belt,Defensive Back,0.7444000244140625,0.7444,1,2.0000000000000000,2009
Arkansas State,Sun Belt,Defensive Line,0.7617599964141846,3.8088,5,2.2000000000000000,2009
Arkansas State,Sun Belt,Linebacker,0.699999988079071,1.4,2,2.0000000000000000,2009
Arkansas State,Sun Belt,Offensive Line,0.7327750027179718,2.9311001,4,2.0000000000000000,2009
Arkansas State,Sun Belt,Receiver,0.699999988079071,0.7,1,2.0000000000000000,2009
Arkansas State,Sun Belt,Running Back,0.7444000244140625,0.7444,1,2.0000000000000000,2009
Arkansas State,Sun Belt,Special Teams,0.7518333594004313,2.2555,3,2.0000000000000000,2009
Army,FBS Independents,Defensive Back,0.7488800168037415,3.7444,5,2.0000000000000000,2009
Army,FBS Independents,Defensive Line,0.768500010172526,2.3055,3,2.3333333333333333,2009
Army,FBS Independents,Linebacker,0.7295999924341837,2.1887999,3,2.0000000000000000,2009
Army,FBS Independents,Offensive Line,0.754150003194809,3.0166,4,2.2500000000000000,2009
Army,FBS Independents,Quarterback,0.766700029373169,0.7667,1,2.0000000000000000,2009
Army,FBS Independents,Receiver,0.699999988079071,0.7,1,2.0000000000000000,2009
Army,FBS Independents,Running Back,0.7333000004291534,1.4666,2,2.0000000000000000,2009
Army,FBS Independents,Special Teams,0.766700029373169,0.7667,1,2.0000000000000000,2009
Auburn,SEC,Defensive Back,0.8932999968528748,0.8933,1,4.0000000000000000,2009
Auburn,SEC,Defensive Line,0.8925999999046326,0.8926,1,4.0000000000000000,2009
Auburn,SEC,Linebacker,0.8456000089645386,0.8456,1,3.0000000000000000,2009
Auburn,SEC,Offensive Line,0.8443999886512756,0.8444,1,3.0000000000000000,2009
Auburn,SEC,Quarterback,0.8540500104427338,1.7081001,2,3.0000000000000000,2009
Auburn,SEC,Receiver,0.8907999992370605,2.6724,3,3.3333333333333333,2009
Auburn,SEC,Running Back,0.8757500052452087,1.7515,2,3.5000000000000000,2009
Baylor,Big 12,Defensive Back,0.8392800092697144,4.1963997,5,3.0000000000000000,2009
Baylor,Big 12,Defensive Line,0.8348000049591064,2.5044,3,3.0000000000000000,2009
Baylor,Big 12,Linebacker,0.810699999332428,1.6214,2,3.0000000000000000,2009
Baylor,Big 12,Offensive Line,0.8640999992688497,2.5923,3,3.3333333333333333,2009
Baylor,Big 12,Receiver,0.8426000078519186,2.5278,3,3.0000000000000000,2009
Baylor,Big 12,Special Teams,0.7444000244140625,0.7444,1,2.0000000000000000,2009
Boise State,Western Athletic,Defensive Back,0.833299994468689,0.8333,1,3.0000000000000000,2009
Boise State,Western Athletic,Defensive Line,0.7922000139951706,3.1687999,4,2.5000000000000000,2009
Boise State,Western Athletic,Linebacker,0.8467000126838684,0.8467,1,3.0000000000000000,2009
Boise State,Western Athletic,Offensive Line,0.7850000262260437,1.57,2,2.5000000000000000,2009
Boise State,Western Athletic,Quarterback,0.8407500088214874,1.6815,2,3.0000000000000000,2009
Boise State,Western Athletic,Receiver,0.8172500133514404,1.6345,2,2.5000000000000000,2009
Boise State,Western Athletic,Running Back,0.8511000275611877,0.8511,1,3.0000000000000000,2009
Boise State,Western Athletic,Special Teams,0.8132333556811014,2.4397001,3,2.6666666666666667,2009
Boston College,ACC,Defensive Line,0.8451000054677328,2.5353,3,3.3333333333333333,2009
Boston College,ACC,Offensive Line,0.783350020647049,3.1334,4,2.2500000000000000,2009
Boston College,ACC,Quarterback,0.826850026845932,1.6537001,2,3.0000000000000000,2009
Boston College,ACC,Receiver,0.8267666498819987,2.4803,3,3.0000000000000000,2009
Boston College,ACC,Running Back,0.8418333331743876,2.5255,3,3.0000000000000000,2009
Boston College,ACC,Special Teams,0.8378000259399414,0.8378,1,3.0000000000000000,2009
Bowling Green,Mid-American,Defensive Back,0.825549989938736,1.6510999,2,3.0000000000000000,2009
Bowling Green,Mid-American,Defensive Line,0.7593714339392525,5.3156,7,2.1428571428571429,2009
Bowling Green,Mid-American,Linebacker,0.7874333461125692,2.3623,3,2.3333333333333333,2009
Bowling Green,Mid-American,Offensive Line,0.7967000007629395,0.7967,1,2.0000000000000000,2009
Bowling Green,Mid-American,Quarterback,0.8338499963283539,1.6677,2,3.0000000000000000,2009
Bowling Green,Mid-American,Receiver,0.8227500021457672,1.6455,2,3.0000000000000000,2009
Bowling Green,Mid-American,Running Back,0.7950000166893005,3.18,4,2.5000000000000000,2009
Bowling Green,Mid-American,Special Teams,0.7900000214576721,0.79,1,2.0000000000000000,2009
Buffalo,Mid-American,Defensive Back,0.7419250011444092,2.9677,4,2.0000000000000000,2009
Buffalo,Mid-American,Defensive Line,0.7748000025749207,2.3244,3,2.6666666666666667,2009
Buffalo,Mid-American,Linebacker,0.7444500029087067,1.4889,2,2.0000000000000000,2009
Buffalo,Mid-American,Offensive Line,0.7666666706403097,2.3,3,2.3333333333333333,2009
Buffalo,Mid-American,Quarterback,0.699999988079071,0.7,1,2.0000000000000000,2009
Buffalo,Mid-American,Receiver,0.7415599942207336,3.7078,5,2.0000000000000000,2009
Buffalo,Mid-American,Running Back,0.7249999940395355,1.45,2,2.0000000000000000,2009
BYU,Mountain West,Defensive Back,0.8511500060558319,1.7023001,2,3.0000000000000000,2009
BYU,Mountain West,Defensive Line,0.7900000214576721,0.79,1,2.0000000000000000,2009
BYU,Mountain West,Offensive Line,0.8521999915440878,2.5566,3,3.0000000000000000,2009
BYU,Mountain West,Receiver,0.83018000125885,4.1509,5,3.0000000000000000,2009
BYU,Mountain West,Running Back,0.8260999917984009,1.6522,2,3.0000000000000000,2009
California,Pac-10,Defensive Back,0.8641666769981384,2.5925002,3,3.0000000000000000,2009
California,Pac-10,Defensive Line,0.8837000131607056,1.7674,2,3.5000000000000000,2009
California,Pac-10,Offensive Line,0.8765000104904175,1.753,2,3.5000000000000000,2009
California,Pac-10,Quarterback,0.9081000089645386,0.9081,1,4.0000000000000000,2009
California,Pac-10,Running Back,0.8956999778747559,0.8957,1,4.0000000000000000,2009
California,Pac-10,Special Teams,0.733299970626831,0.7333,1,2.0000000000000000,2009
Central Michigan,Mid-American,Defensive Back,0.8047250062227249,3.2189,4,2.5000000000000000,2009
Central Michigan,Mid-American,Defensive Line,0.7984600186347961,3.9923,5,2.6000000000000000,2009
Central Michigan,Mid-American,Linebacker,0.8279999971389771,4.14,5,2.8000000000000000,2009
Central Michigan,Mid-American,Offensive Line,0.7958000183105469,3.979,5,2.4000000000000000,2009
Central Michigan,Mid-American,Quarterback,0.7444000244140625,0.7444,1,2.0000000000000000,2009
Central Michigan,Mid-American,Receiver,0.795275017619133,3.1811,4,2.5000000000000000,2009
Central Michigan,Mid-American,Running Back,0.7714666922887167,2.3144002,3,2.3333333333333333,2009
Central Michigan,Mid-American,Special Teams,0.76664999127388,1.5332999,2,2.5000000000000000,2009
Cincinnati,Big East,Defensive Back,0.8540999889373779,2.5623,3,3.3333333333333333,2009
Cincinnati,Big East,Defensive Line,0.824833333492279,2.4745,3,3.0000000000000000,2009
Cincinnati,Big East,Linebacker,0.7904000282287598,1.5808,2,2.5000000000000000,2009
Cincinnati,Big East,Offensive Line,0.8270333409309387,2.4811,3,3.0000000000000000,2009
Cincinnati,Big East,Receiver,0.8318333228429159,2.4955,3,3.0000000000000000,2009
Cincinnati,Big East,Special Teams,0.7444000244140625,0.7444,1,2.0000000000000000,2009
Clemson,ACC,Defensive Line,0.8870333433151245,2.6611,3,3.3333333333333333,2009
Clemson,ACC,Offensive Line,0.9377999901771545,0.9378,1,4.0000000000000000,2009
Clemson,ACC,Quarterback,0.984000027179718,0.984,1,5.0000000000000000,2009
Clemson,ACC,Receiver,0.9487000107765198,0.9487,1,4.0000000000000000,2009
Clemson,ACC,Running Back,0.9214000105857849,0.9214,1,4.0000000000000000,2009
Colorado,Big 12,Defensive Back,0.8228000104427338,1.6456001,2,2.5000000000000000,2009
Colorado,Big 12,Defensive Line,0.8656000097592672,2.5967999,3,3.0000000000000000,2009
Colorado,Big 12,Linebacker,0.8399999737739563,0.84,1,3.0000000000000000,2009
Colorado,Big 12,Offensive Line,0.8336000144481659,3.3344002,4,2.7500000000000000,2009
Colorado,Big 12,Quarterback,0.8432999849319458,0.8433,1,3.0000000000000000,2009
Colorado,Big 12,Receiver,0.8111000061035156,0.8111,1,3.0000000000000000,2009
Colorado,Big 12,Special Teams,0.824400007724762,0.8244,1,3.0000000000000000,2009
Colorado State,Mountain West,Defensive Back,0.7661249935626984,3.0644999,4,2.2500000000000000,2009
Colorado State,Mountain West,Defensive Line,0.7967666784922282,2.3903,3,2.6666666666666667,2009
Colorado State,Mountain West,Linebacker,0.699999988079071,0.7,1,2.0000000000000000,2009
Colorado State,Mountain West,Offensive Line,0.7811000148455302,2.3432999,3,2.3333333333333333,2009
Colorado State,Mountain West,Quarterback,0.8321999907493591,0.8322,1,3.0000000000000000,2009
Colorado State,Mountain West,Receiver,0.799450010061264,1.5989001,2,2.5000000000000000,2009
Colorado State,Mountain West,Running Back,0.8111000061035156,0.8111,1,3.0000000000000000,2009
Colorado State,Mountain West,Special Teams,0.8111000061035156,0.8111,1,3.0000000000000000,2009
Duke,ACC,Defensive Back,0.8314000070095062,3.3256001,4,2.7500000000000000,2009
Duke,ACC,Defensive Line,0.8331000010172526,2.4993,3,3.0000000000000000,2009
Duke,ACC,Linebacker,0.7881333231925964,2.3644,3,2.6666666666666667,2009
Duke,ACC,Offensive Line,0.7829333146413168,2.3488,3,2.3333333333333333,2009
Duke,ACC,Quarterback,0.8532999753952026,0.8533,1,3.0000000000000000,2009
Duke,ACC,Receiver,0.8296500146389008,1.6593001,2,3.0000000000000000,2009
Duke,ACC,Running Back,0.8627499938011169,1.7255,2,3.5000000000000000,2009
Duke,ACC,Special Teams,0.8222000002861023,2.4666,3,2.6666666666666667,2009
East Carolina,Conference USA,Defensive Back,0.7548333406448364,2.2645001,3,2.3333333333333333,2009
East Carolina,Conference USA,Defensive Line,0.7385333180427551,2.2156,3,2.3333333333333333,2009
East Carolina,Conference USA,Linebacker,0.699999988079071,1.4,2,2.0000000000000000,2009
East Carolina,Conference USA,Offensive Line,0.7705499827861786,1.5411,2,2.5000000000000000,2009
East Carolina,Conference USA,Quarterback,0.8356000185012817,0.8356,1,3.0000000000000000,2009
East Carolina,Conference USA,Receiver,0.8099000006914139,3.2396,4,2.7500000000000000,2009
East Carolina,Conference USA,Running Back,0.8467000126838684,0.8467,1,3.0000000000000000,2009
Eastern Michigan,Mid-American,Defensive Back,0.7674000064531962,2.3022,3,2.3333333333333333,2009
Eastern Michigan,Mid-American,Defensive Line,0.7983500063419342,1.5967,2,2.5000000000000000,2009
Eastern Michigan,Mid-American,Linebacker,0.766700029373169,0.7667,1,2.0000000000000000,2009
Eastern Michigan,Mid-American,Offensive Line,0.766700029373169,0.7667,1,2.0000000000000000,2009
Eastern Michigan,Mid-American,Quarterback,0.7916500270366669,1.5833001,2,2.5000000000000000,2009
Eastern Michigan,Mid-American,Receiver,0.7861000001430511,3.1444001,4,2.2500000000000000,2009
Florida,SEC,Defensive Line,0.9934999942779541,0.9935,1,5.0000000000000000,2009
Florida,SEC,Linebacker,0.9844000041484833,1.9688001,2,4.5000000000000000,2009
Florida,SEC,Offensive Line,0.9258249998092651,3.7033,4,4.0000000000000000,2009
Florida,SEC,Receiver,0.9591499865055084,1.9182999,2,4.5000000000000000,2009
Florida,SEC,Running Back,0.9314000010490417,0.9314,1,4.0000000000000000,2009
Florida International,Sun Belt,Defensive Back,0.7988600134849548,3.9943001,5,2.6000000000000000,2009
Florida International,Sun Belt,Defensive Line,0.8066500127315521,1.6133001,2,3.0000000000000000,2009
Florida International,Sun Belt,Linebacker,0.8250666658083597,2.4752,3,2.6666666666666667,2009
Florida International,Sun Belt,Offensive Line,0.8020833333333334,4.8125,6,2.5000000000000000,2009
Florida International,Sun Belt,Quarterback,0.8467000126838684,0.8467,1,3.0000000000000000,2009
Florida International,Sun Belt,Receiver,0.766700029373169,2.3001,3,2.0000000000000000,2009
Florida International,Sun Belt,Running Back,0.812250018119812,1.6245,2,2.5000000000000000,2009
Florida International,Sun Belt,Special Teams,0.824400007724762,0.8244,1,3.0000000000000000,2009
Florida State,ACC,Defensive Back,0.9105000048875809,3.6420002,4,4.0000000000000000,2009
Florida State,ACC,Defensive Line,0.9369999965031942,2.8109999,3,4.0000000000000000,2009
Florida State,ACC,Offensive Line,0.8540999889373779,1.7082,2,3.0000000000000000,2009
Florida State,ACC,Quarterback,0.8518999814987183,0.8519,1,3.0000000000000000,2009
Florida State,ACC,Receiver,0.8905499875545502,1.7811,2,3.5000000000000000,2009
Florida State,ACC,Running Back,0.9085499942302704,1.8171,2,4.0000000000000000,2009
Florida State,ACC,Special Teams,0.9112499952316284,1.8225,2,3.5000000000000000,2009
Fresno State,Western Athletic,Defensive Back,0.8077499866485596,1.6155,2,2.5000000000000000,2009
Fresno State,Western Athletic,Defensive Line,0.7500000149011612,3.0,4,2.0000000000000000,2009
Fresno State,Western Athletic,Linebacker,0.7757800102233887,3.8789,5,2.4000000000000000,2009
Fresno State,Western Athletic,Offensive Line,0.8456000089645386,0.8456,1,3.0000000000000000,2009
Fresno State,Western Athletic,Quarterback,0.8952000141143799,0.8952,1,4.0000000000000000,2009
Fresno State,Western Athletic,Receiver,0.766700029373169,0.7667,1,2.0000000000000000,2009
Fresno State,Western Athletic,Running Back,0.8100000023841858,0.81,1,3.0000000000000000,2009
Georgia,SEC,Defensive Back,0.9402500092983246,1.8805001,2,4.5000000000000000,2009
Georgia,SEC,Defensive Line,0.921999990940094,2.766,3,3.6666666666666667,2009
Georgia,SEC,Linebacker,0.8967000246047974,0.8967,1,4.0000000000000000,2009
Georgia,SEC,Offensive Line,0.97120001912117,1.9424,2,4.0000000000000000,2009
Georgia,SEC,Quarterback,0.9663000106811523,1.9326,2,4.5000000000000000,2009
Georgia,SEC,Receiver,0.9453999847173691,3.7816,4,4.2500000000000000,2009
Georgia,SEC,Running Back,0.9581999778747559,0.9582,1,4.0000000000000000,2009
Georgia Tech,ACC,Defensive Back,0.838533341884613,2.5156,3,3.0000000000000000,2009
Georgia Tech,ACC,Defensive Line,0.8567000031471252,0.8567,1,3.0000000000000000,2009
Georgia Tech,ACC,Linebacker,0.8356000185012817,0.8356,1,3.0000000000000000,2009
Georgia Tech,ACC,Offensive Line,0.8888999819755554,0.8889,1,3.0000000000000000,2009
Georgia Tech,ACC,Quarterback,0.8903999924659729,0.8904,1,4.0000000000000000,2009
Georgia Tech,ACC,Receiver,0.8532999753952026,0.8533,1,3.0000000000000000,2009
Georgia Tech,ACC,Special Teams,0.8888999819755554,0.8889,1,3.0000000000000000,2009
Hawai'i,Western Athletic,Defensive Back,0.7902199983596802,3.9510999,5,2.6000000000000000,2009
Hawai'i,Western Athletic,Defensive Line,0.8061000108718872,1.6122,2,3.0000000000000000,2009
Hawai'i,Western Athletic,Linebacker,0.7889000177383423,0.7889,1,2.0000000000000000,2009
Hawai'i,Western Athletic,Offensive Line,0.8026000062624613,2.4078,3,2.6666666666666667,2009
Hawai'i,Western Athletic,Quarterback,0.8122333486874899,2.4367,3,2.6666666666666667,2009
Hawai'i,Western Athletic,Receiver,0.8300000131130219,1.6600001,2,3.0000000000000000,2009
Hawai'i,Western Athletic,Running Back,0.7944000065326691,1.5888,2,2.5000000000000000,2009
Hawai'i,Western Athletic,Special Teams,0.7778000235557556,1.5556,2,2.0000000000000000,2009
Houston,Conference USA,Defensive Back,0.8343999981880188,0.8344,1,3.0000000000000000,2009
Houston,Conference USA,Defensive Line,0.8050000071525574,3.22,4,2.7500000000000000,2009
Houston,Conference USA,Linebacker,0.799450010061264,3.1978002,4,2.2500000000000000,2009
Houston,Conference USA,Offensive Line,0.8237333297729492,2.4712,3,3.0000000000000000,2009
Houston,Conference USA,Quarterback,0.8399999737739563,0.84,1,3.0000000000000000,2009
Houston,Conference USA,Running Back,0.7972000241279602,1.5944,2,2.5000000000000000,2009
Houston,Conference USA,Special Teams,0.8149999976158142,1.63,2,3.0000000000000000,2009
Idaho,Western Athletic,Defensive Back,0.7222333351771036,2.1667001,3,2.0000000000000000,2009
Idaho,Western Athletic,Defensive Line,0.7699999809265137,0.77,1,2.0000000000000000,2009
Idaho,Western Athletic,Linebacker,0.7222333351771036,2.1667,3,2.0000000000000000,2009
Idaho,Western Athletic,Offensive Line,0.7771999835968018,1.5544,2,2.5000000000000000,2009
Idaho,Western Athletic,Quarterback,0.7555500268936157,1.5111,2,2.0000000000000000,2009
Idaho,Western Athletic,Receiver,0.7441499978303909,2.9766,4,2.2500000000000000,2009
Idaho,Western Athletic,Running Back,0.7889000177383423,0.7889,1,2.0000000000000000,2009
Idaho,Western Athletic,Special Teams,0.833299994468689,0.8333,1,3.0000000000000000,2009
Illinois,Big Ten,Defensive Back,0.8645000060399374,2.5935,3,3.3333333333333333,2009
Illinois,Big Ten,Defensive Line,0.8380500078201294,1.6761,2,3.0000000000000000,2009
Illinois,Big Ten,Offensive Line,0.8570500016212463,1.7141,2,3.5000000000000000,2009
Illinois,Big Ten,Quarterback,0.911300003528595,0.9113,1,4.0000000000000000,2009
Illinois,Big Ten,Receiver,0.8799333373705546,2.6398,3,3.3333333333333333,2009
Illinois,Big Ten,Running Back,0.8814499974250793,1.7629,2,3.5000000000000000,2009
Illinois,Big Ten,Special Teams,0.7777999937534332,1.5555999,2,2.0000000000000000,2009
Indiana,Big Ten,Defensive Back,0.7889000177383423,0.7889,1,2.0000000000000000,2009
Indiana,Big Ten,Defensive Line,0.8349999785423279,1.67,2,3.0000000000000000,2009
Indiana,Big Ten,Linebacker,0.7666500210762024,1.5333,2,2.0000000000000000,2009
Indiana,Big Ten,Offensive Line,0.8232500106096268,3.293,4,2.7500000000000000,2009
Indiana,Big Ten,Quarterback,0.8399999737739563,0.84,1,3.0000000000000000,2009
Indiana,Big Ten,Receiver,0.8532999753952026,0.8533,1,3.0000000000000000,2009
Indiana,Big Ten,Running Back,0.7955500185489655,1.5911,2,2.5000000000000000,2009
Iowa,Big Ten,Defensive Back,0.808899998664856,1.6178,2,2.5000000000000000,2009
Iowa,Big Ten,Defensive Line,0.7221999764442444,0.7222,1,2.0000000000000000,2009
Iowa,Big Ten,Linebacker,0.8031000018119812,4.0155,5,2.8000000000000000,2009
Iowa,Big Ten,Offensive Line,0.8142799973487854,4.0713997,5,2.8000000000000000,2009
Iowa,Big Ten,Receiver,0.8628666599591573,2.5886,3,3.3333333333333333,2009
Iowa,Big Ten,Running Back,0.8500500023365021,1.7001,2,3.0000000000000000,2009
Iowa State,Big 12,Defensive Back,0.8174999952316284,3.27,4,2.7500000000000000,2009
Iowa State,Big 12,Defensive Line,0.8321999907493591,0.8322,1,3.0000000000000000,2009
Iowa State,Big 12,Linebacker,0.8214749991893768,3.2859,4,2.7500000000000000,2009
Iowa State,Big 12,Offensive Line,0.8526000082492828,1.7052,2,3.0000000000000000,2009
Iowa State,Big 12,Quarterback,0.8100000023841858,0.81,1,3.0000000000000000,2009
Iowa State,Big 12,Receiver,0.8273999889691671,2.4822,3,3.0000000000000000,2009
Iowa State,Big 12,Running Back,0.8478000164031982,1.6956,2,3.0000000000000000,2009
Iowa State,Big 12,Special Teams,0.8278000056743622,1.6556001,2,2.5000000000000000,2009
Kansas,Big 12,Defensive Back,0.8806333343187968,2.6419,3,3.6666666666666667,2009
Kansas,Big 12,Defensive Line,0.8616999983787537,1.7234,2,3.0000000000000000,2009
Kansas,Big 12,Linebacker,0.8561500012874603,1.7123001,2,3.0000000000000000,2009
Kansas,Big 12,Offensive Line,0.8172500133514404,1.6345,2,2.5000000000000000,2009
Kansas,Big 12,Quarterback,0.842199981212616,0.8422,1,3.0000000000000000,2009
Kansas,Big 12,Receiver,0.8543999791145325,0.8544,1,3.0000000000000000,2009
Kansas State,Big 12,Defensive Back,0.8325666586558024,2.4977,3,3.0000000000000000,2009
Kansas State,Big 12,Defensive Line,0.8283500075340271,1.6567,2,3.0000000000000000,2009
Kansas State,Big 12,Linebacker,0.8199999928474426,1.64,2,3.0000000000000000,2009
Kansas State,Big 12,Offensive Line,0.824066678682963,2.4722,3,3.0000000000000000,2009
Kansas State,Big 12,Receiver,0.8118666807810465,2.4356,3,2.6666666666666667,2009
Kansas State,Big 12,Running Back,0.833299994468689,0.8333,1,3.0000000000000000,2009
Kansas State,Big 12,Special Teams,0.8292666673660278,2.4878001,3,3.0000000000000000,2009
Kent State,Mid-American,Defensive Back,0.7599999904632568,1.52,2,2.5000000000000000,2009
Kent State,Mid-American,Defensive Line,0.7799999713897705,0.78,1,2.0000000000000000,2009
Kent State,Mid-American,Linebacker,0.7480500042438507,2.9922,4,2.2500000000000000,2009
Kent State,Mid-American,Offensive Line,0.7886250168085098,3.1545,4,2.5000000000000000,2009
Kent State,Mid-American,Quarterback,0.8467000126838684,0.8467,1,3.0000000000000000,2009
Kent State,Mid-American,Receiver,0.766700029373169,0.7667,1,2.0000000000000000,2009
Kent State,Mid-American,Running Back,0.699999988079071,0.7,1,2.0000000000000000,2009
Kent State,Mid-American,Special Teams,0.699999988079071,0.7,1,2.0000000000000000,2009
Kentucky,SEC,Defensive Back,0.7889000177383423,0.7889,1,2.0000000000000000,2009
Kentucky,SEC,Defensive Line,0.822599987188975,2.4678001,3,3.0000000000000000,2009
Kentucky,SEC,Linebacker,0.8282999992370605,1.6566,2,3.0000000000000000,2009
Kentucky,SEC,Offensive Line,0.8111000061035156,0.8111,1,3.0000000000000000,2009
Kentucky,SEC,Quarterback,0.9363999962806702,0.9364,1,4.0000000000000000,2009
Kentucky,SEC,Receiver,0.8274333278338114,2.4823,3,3.0000000000000000,2009
Kentucky,SEC,Running Back,0.699999988079071,0.7,1,2.0000000000000000,2009
Kentucky,SEC,Special Teams,0.842199981212616,0.8422,1,3.0000000000000000,2009
Louisiana,Sun Belt,Defensive Back,0.766700029373169,0.7667,1,2.0000000000000000,2009
Louisiana,Sun Belt,Defensive Line,0.8310999870300293,0.8311,1,3.0000000000000000,2009
Louisiana,Sun Belt,Linebacker,0.766700029373169,0.7667,1,2.0000000000000000,2009
Louisiana,Sun Belt,Offensive Line,0.7530750036239624,3.0123,4,2.0000000000000000,2009
Louisiana,Sun Belt,Receiver,0.7592666745185852,2.2778,3,2.3333333333333333,2009
Louisiana,Sun Belt,Special Teams,0.7444500029087067,1.4889,2,2.0000000000000000,2009
Louisiana Tech,Western Athletic,Defensive Back,0.7884400010108947,3.9422002,5,2.6000000000000000,2009
Louisiana Tech,Western Athletic,Defensive Line,0.833299994468689,0.8333,1,3.0000000000000000,2009
Louisiana Tech,Western Athletic,Linebacker,0.8366499841213226,1.6733,2,3.0000000000000000,2009
Louisiana Tech,Western Athletic,Offensive Line,0.8061250150203705,3.2245002,4,2.5000000000000000,2009
Louisiana Tech,Western Athletic,Quarterback,0.8500000238418579,0.85,1,3.0000000000000000,2009
Louisiana Tech,Western Athletic,Receiver,0.7778000235557556,3.1111999,4,2.0000000000000000,2009
Louisiana Tech,Western Athletic,Running Back,0.7989000082015991,1.5978,2,2.5000000000000000,2009
Louisiana Tech,Western Athletic,Special Teams,0.8216499984264374,1.6433,2,3.0000000000000000,2009
Louisville,Big East,Defensive Back,0.822000014781952,4.11,5,2.8000000000000000,2009
Louisville,Big East,Defensive Line,0.8210999965667725,2.4633,3,2.6666666666666667,2009
Louisville,Big East,Linebacker,0.8010000189145406,2.4029999,3,2.6666666666666667,2009
Louisville,Big East,Offensive Line,0.833299994468689,0.8333,1,3.0000000000000000,2009
Louisville,Big East,Receiver,0.783350020647049,1.5667,2,2.0000000000000000,2009
Louisville,Big East,Running Back,0.842199981212616,1.6844,2,3.0000000000000000,2009
LSU,SEC,Defensive Back,0.9955999851226807,0.9956,1,5.0000000000000000,2009
LSU,SEC,Defensive Line,0.9617999941110611,3.8472,4,4.2500000000000000,2009
LSU,SEC,Linebacker,0.9326000213623047,1.8652,2,4.0000000000000000,2009
LSU,SEC,Offensive Line,0.8952500075101852,3.5809999,4,3.7500000000000000,2009
LSU,SEC,Quarterback,0.9986000061035156,0.9986,1,5.0000000000000000,2009
